,Bangla,IPA,CMUBETs
0,স্কুলটির দিকে দৃষ্টি দিন,skul.tir d̪i.ke d̪riʃ.ti d̪in ,S K UW L T IH R SIL D IH K EY SIL D R IH SH T IH SIL D IH N
1,"পিরোজপুর জেলার কাউখালী বন্দরে একটি মাত্র বালিকা বিদ্যালয় আছে, যা এসবি সরকারি উচ্চবালিকা বিদ্যালয় নামে পরিচিত",pi.roɟ.pur ɟe.lar ka.u.kʰa.li bɔn.d̪ɔ.re ek.ti mat̪.t̪ro ba.li.ka bid̪.d̪a.lɔj a.cʰe ɟa es.bi ʃɔr.ka.ri uc.co.ba.li.ka bid̪.d̪a.lɔj na.me po.ri.ci.t̪o ,P IH R OW JH P UW R SIL JH EY L AA R SIL K AA UW K AA L IH SIL B AO N D AO R EY SIL EY K T IH SIL M AA T T R OW SIL B AA L IH K AA SIL B IH D D AA L AO Y SIL AA EY SIL JH AA SIL EY S B IH SIL SH AO R K AA R IH SIL UW OW B AA L IH K AA SIL B IH D D AA L AO Y SIL N AA M EY SIL P OW R IH IH T OW
2,অনেক ঐতিহ্য বহন করছে এ বিদ্যালয়টি,ɔ.nek oi.t̪iɟ.ɟʰo bɔ.hon kor.cʰe e bid̪.d̪a.lɔj.ti ,AO N EY K SIL OW IH T IH JH JH OW SIL B AO HH OW N SIL K OW R EY SIL EY SIL B IH D D AA L AO Y T IH
3,কিন্তু এখানকার ছাত্রী ও শিক্ষক-শিক্ষিকাদের সম্মুখীন হতে হচ্ছে বহুবিধ সমস্যার,kin.t̪u e.kʰan.kar cʰat̪.t̪ri o ʃik.kʰɔk ʃik.kʰi.ka.d̪er ʃɔm.mu.kʰin ho.t̪e hoc.cʰe bo.hu.bi.d̪ʰo ʃɔ.moʃ.ʃar ,K IH N T UW SIL EY K AA N K AA R SIL AA T T R IH SIL OW SIL SH IH K K AO K SIL SH IH K K IH K AA D EY R SIL SH AO M M UW K IH N SIL HH OW T EY SIL HH OW EY SIL B OW HH UW B IH D OW SIL SH AO M OW SH SH AA R
4,পাশ্বর্বর্তী বিভিন্ন গ্রাম ও দূরদূরান্ত থেকে ভালো শিক্ষার আশায় এখানে পড়তে আসছে শিক্ষার্থীরা,par.ʃo.bor.t̪i bi.bʰin.no gram o d̪ur.d̪u.ran.t̪o t̪ʰe.ke bʰa.lo ʃik.kʰar a.ʃaj e.kʰa.ne poɾ.t̪e aʃ.cʰe ʃik.kʰar.t̪ʰi.ra ,P AA R SH OW B OW R T IH SIL B IH B IH N N OW SIL R AA M SIL OW SIL D UW R D UW R AA N T OW SIL T EY K EY SIL B AA L OW SIL SH IH K K AA R SIL AA SH AA Y SIL EY K AA N EY SIL P OW DX T EY SIL AA SH EY SIL SH IH K K AA R T IH R AA
5,কিন্তু তারপরও শিক্ষার্থীরা এখানে পাচ্ছে না যথাযথ শিক্ষা,kin.t̪u t̪ar.pɔr.o ʃik.kʰar.t̪ʰi.ra e.kʰa.ne pac.cʰe na ɟɔ.t̪ʰa.ɟɔ.t̪ʰo ʃik.kʰa ,K IH N T UW SIL T AA R P AO R OW SIL SH IH K K AA R T IH R AA SIL EY K AA N EY SIL P AA EY SIL N AA SIL JH AO T AA JH AO T OW SIL SH IH K K AA
6,এর প্রধান কারণ শিক্ষক-শিক্ষিকা সংকট,er pro.d̪ʰan ka.ron ʃik.kʰɔk ʃik.kʰi.ka ʃɔŋ.kɔt ,EY R SIL P R OW D AA N SIL K AA R OW N SIL SH IH K K AO K SIL SH IH K K IH K AA SIL SH AO NG K AO T
7,এক বছর ধরে এখানে নেই কোনো প্রধান শিক্ষক,æk bɔ.cʰor d̪ʰɔ.re e.kʰa.ne nei ko.no pro.d̪ʰan ʃik.kʰɔk ,AE K SIL B AO OW R SIL D AO R EY SIL EY K AA N EY SIL N EY IH SIL K OW N OW SIL P R OW D AA N SIL SH IH K K AO K
8,ভারপ্রাপ্ত সিনিয়র শিক্ষক এই প্রতিষ্ঠানটি একা চালাতে হিমশিম খাচ্ছেন,bʰar.prap.t̪o si.ni.jor ʃik.kʰɔk ei pro.t̪iʃ.tʰan.ti æ.ka ca.la.t̪e him.ʃim kʰac.cʰen ,B AA R P R AA P T OW SIL S IH N IH Y OW R SIL SH IH K K AO K SIL EY IH SIL P R OW T IH SH T AA N T IH SIL AE K AA SIL AA L AA T EY SIL HH IH M SH IH M SIL K AA EY N
9,সহকারী প্রধান শিক্ষক পদটি থাকা সত্ত্বেও এই প্রতিষ্ঠানে নেই কোনো সহকারী প্রধান শিক্ষক,ʃɔ.ho.ka.ri pro.d̪ʰan ʃik.kʰɔk pɔd̪.ti t̪ʰa.ka ʃɔt̪.t̪e.o ei pro.t̪iʃ.tʰa.ne nei ko.no ʃɔ.ho.ka.ri pro.d̪ʰan ʃik.kʰɔk ,SH AO HH OW K AA R IH SIL P R OW D AA N SIL SH IH K K AO K SIL P AO D T IH SIL T AA K AA SIL SH AO T T EY OW SIL EY IH SIL P R OW T IH SH T AA N EY SIL N EY IH SIL K OW N OW SIL SH AO HH OW K AA R IH SIL P R OW D AA N SIL SH IH K K AO K
10,দুবছর ধরে নেই কোনো করণিক,d̪u.bɔ.cʰor d̪ʰɔ.re nei ko.no kɔ.ro.nik ,D UW B AO OW R SIL D AO R EY SIL N EY IH SIL K OW N OW SIL K AO R OW N IH K
